"county","age_group","population","susceptible","exposed","isolated","symptomatic","asymptomatic","hospitalized","deaths","recovered","vaccinated","cumulative_vaccinated"
"Tuolumne","0-17",2574,2177,0,0,0,0,0,0,0,38,397
"Tuolumne","18-49",18791,13617,0,0,1,1,1,0,2,28,5169
"Tuolumne","50-64",10342,4698,0,0,0,0,0,0,0,25,5644
"Tuolumne","65+",14563,4483,0,0,0,0,0,0,0,10,10080
"Ventura","0-17",69548,45048,0,0,15,15,2,0,8,1192,24460
"Ventura","18-49",339639,142873,0,0,60,60,10,0,39,2330,196597
"Ventura","50-64",163529,42796,0,0,20,20,3,0,14,759,120676
"Ventura","65+",153768,43113,0,0,12,12,2,0,7,227,110622
"Yolo","0-17",17178,10305,0,0,4,4,0,0,4,274,6861
"Yolo","18-49",112328,53675,0,0,15,15,2,0,23,612,58598
"Yolo","50-64",33901,8469,0,0,6,6,1,0,8,177,25411
"Yolo","65+",33492,9280,0,0,2,2,0,0,4,58,24204
"Yuba","0-17",6802,5836,0,0,4,4,1,0,6,65,951
"Yuba","18-49",35621,26113,0,0,13,13,5,0,29,207,9448
"Yuba","50-64",11012,4609,0,0,5,5,2,0,9,82,6382
"Yuba","65+",10612,4113,0,0,3,3,1,0,6,32,6486
